,Bruce Springsteen,Garry Tallent,Roy Bittan,Max Weinberg,Steven Van Zandt,Nils Lofgren,Patti Scialfa,Jake Clemons
Bruce Springsteen,,0,1,1,1,0,1,0
Garry Tallent,0,,0,0,0,0,0,0
Roy Bittan,1,0,,1,1,1,0,1
Max Weinberg,1,0,1,,1,1,1,1
Steven Van Zandt,1,0,1,1,,0,1,1
Nils Lofgren,0,0,1,1,0,,0,0
Patti Scialfa,1,0,0,1,1,0,,1
Jake Clemons,0,0,1,1,1,0,1,
